11:47:03,316 INFO  [log] Logging initialized @311ms
11:47:05,827 INFO  [AbstractPoolBackedDataSource] Initializing c3p0 pool... com.mchange.v2.c3p0.ComboPooledDataSource [ acquireIncrement -> 3, acquireRetryAttempts -> 30, acquireRetryDelay -> 1000, autoCommitOnClose -> false, automaticTestTable -> null, breakAfterAcquireFailure -> false, checkoutTimeout -> 0, connectionCustomizerClassName -> null, connectionTesterClassName -> com.mchange.v2.c3p0.impl.DefaultConnectionTester, dataSourceName -> 1hge138971m2mk3z155xnvv|24aed80c, debugUnreturnedConnectionStackTraces -> false, description -> null, driverClass -> com.mysql.jdbc.Driver, factoryClassLocation -> null, forceIgnoreUnresolvedTransactions -> false, identityToken -> 1hge138971m2mk3z155xnvv|24aed80c, idleConnectionTestPeriod -> 0, initialPoolSize -> 3, jdbcUrl -> jdbc:mysql://127.0.0.1:3306/armada, lastAcquisitionFailureDefaultUser -> null, maxAdministrativeTaskTime -> 0, maxConnectionAge -> 0, maxIdleTime -> 0, maxIdleTimeExcessConnections -> 0, maxPoolSize -> 6, maxStatements -> 0, maxStatementsPerConnection -> 0, minPoolSize -> 3, numHelperThreads -> 3, numThreadsAwaitingCheckoutDefaultUser -> 0, preferredTestQuery -> null, properties -> {user=******, password=******}, propertyCycle -> 0, testConnectionOnCheckin -> false, testConnectionOnCheckout -> false, unreturnedConnectionTimeout -> 0, usesTraditionalReflectiveProxies -> false ]
11:47:06,402 INFO  [Dialect] Using dialect: org.hibernate.dialect.MySQLDialect
11:47:06,415 INFO  [JdbcSupportLoader] Disabling contextual LOB creation as createClob() method threw error : java.lang.reflect.InvocationTargetException
11:47:06,416 INFO  [SettingsFactory] Database ->
       name : MySQL
    version : 5.5.11
      major : 5
      minor : 5
11:47:06,416 INFO  [SettingsFactory] Driver ->
       name : MySQL Connector Java
    version : mysql-connector-java-5.1.33 ( Revision: alexander.soklakov@oracle.com-20140908134200-8ukofe1izi0r2b63 )
      major : 5
      minor : 1
11:47:06,419 INFO  [TransactionFactoryFactory] Transaction strategy: org.springframework.orm.hibernate3.SpringTransactionFactory
11:47:06,422 INFO  [TransactionManagerLookupFactory] No TransactionManagerLookup configured (in JTA environment, use of read-write or transactional second-level cache is not recommended)
11:47:06,423 INFO  [SettingsFactory] Automatic flush during beforeCompletion(): disabled
11:47:06,423 INFO  [SettingsFactory] Automatic session close at end of transaction: disabled
11:47:06,423 INFO  [SettingsFactory] JDBC batch size: 15
11:47:06,423 INFO  [SettingsFactory] JDBC batch updates for versioned data: disabled
11:47:06,425 INFO  [SettingsFactory] Scrollable result sets: enabled
11:47:06,425 INFO  [SettingsFactory] JDBC3 getGeneratedKeys(): enabled
11:47:06,425 INFO  [SettingsFactory] Connection release mode: auto
11:47:06,428 INFO  [SettingsFactory] Maximum outer join fetch depth: 2
11:47:06,429 INFO  [SettingsFactory] Default batch fetch size: 1
11:47:06,429 INFO  [SettingsFactory] Generate SQL with comments: disabled
11:47:06,429 INFO  [SettingsFactory] Order SQL updates by primary key: disabled
11:47:06,429 INFO  [SettingsFactory] Order SQL inserts for batching: disabled
11:47:06,429 INFO  [SettingsFactory] Query translator: org.hibernate.hql.ast.ASTQueryTranslatorFactory
11:47:06,433 INFO  [ASTQueryTranslatorFactory] Using ASTQueryTranslatorFactory
11:47:06,433 INFO  [SettingsFactory] Query language substitutions: {}
11:47:06,433 INFO  [SettingsFactory] JPA-QL strict compliance: disabled
11:47:06,433 INFO  [SettingsFactory] Second-level cache: enabled
11:47:06,434 INFO  [SettingsFactory] Query cache: disabled
11:47:06,434 INFO  [SettingsFactory] Cache region factory : org.hibernate.cache.impl.NoCachingRegionFactory
11:47:06,439 INFO  [SettingsFactory] Optimize cache for minimal puts: disabled
11:47:06,440 INFO  [SettingsFactory] Structured second-level cache entries: disabled
11:47:06,446 INFO  [SettingsFactory] Echoing all SQL to stdout
11:47:06,447 INFO  [SettingsFactory] Statistics: disabled
11:47:06,447 INFO  [SettingsFactory] Deleted entity synthetic identifier rollback: disabled
11:47:06,447 INFO  [SettingsFactory] Default entity-mode: pojo
11:47:06,447 INFO  [SettingsFactory] Named query checking : enabled
11:47:06,447 INFO  [SettingsFactory] Check Nullability in Core (should be disabled when Bean Validation is on): enabled
11:47:06,476 INFO  [SessionFactoryImpl] building session factory
11:47:06,488 INFO  [BasicTypeRegistry] Type registration [materialized_clob] overrides previous : org.hibernate.type.MaterializedClobType@4241e0f4
11:47:06,489 INFO  [BasicTypeRegistry] Type registration [blob] overrides previous : org.hibernate.type.BlobType@4ebff610
11:47:06,489 INFO  [BasicTypeRegistry] Type registration [java.sql.Blob] overrides previous : org.hibernate.type.BlobType@4ebff610
11:47:06,489 INFO  [BasicTypeRegistry] Type registration [wrapper_characters_clob] overrides previous : org.hibernate.type.CharacterArrayClobType@60410cd
11:47:06,489 INFO  [BasicTypeRegistry] Type registration [materialized_blob] overrides previous : org.hibernate.type.MaterializedBlobType@44d52de2
11:47:06,489 INFO  [BasicTypeRegistry] Type registration [wrapper_materialized_blob] overrides previous : org.hibernate.type.WrappedMaterializedBlobType@95e33cc
11:47:06,490 INFO  [BasicTypeRegistry] Type registration [clob] overrides previous : org.hibernate.type.ClobType@38604b81
11:47:06,490 INFO  [BasicTypeRegistry] Type registration [java.sql.Clob] overrides previous : org.hibernate.type.ClobType@38604b81
11:47:06,490 INFO  [BasicTypeRegistry] Type registration [characters_clob] overrides previous : org.hibernate.type.PrimitiveCharacterArrayClobType@1e44b638
11:47:06,765 INFO  [SessionFactoryObjectFactory] Not binding factory to JNDI, no JNDI name configured
11:47:06,771 INFO  [SchemaUpdate] Running hbm2ddl schema update
11:47:06,772 INFO  [SchemaUpdate] fetching database metadata
11:47:06,777 INFO  [SchemaUpdate] updating schema
11:47:06,821 INFO  [TableMetadata] table found: armada.container
11:47:06,822 INFO  [TableMetadata] columns: [container_unique_id, cadvisor_url, name, id]
11:47:06,822 INFO  [TableMetadata] foreign keys: []
11:47:06,822 INFO  [TableMetadata] indexes: [container_unique_id, primary]
11:47:06,848 INFO  [TableMetadata] table found: armada.container_log
11:47:06,848 INFO  [TableMetadata] columns: [mem_used, cpu_used, disk_used, disk_total, id, cpu_total, mem_total, container_id, timestamp]
11:47:06,848 INFO  [TableMetadata] foreign keys: [fk_container_to_log]
11:47:06,848 INFO  [TableMetadata] indexes: [fk_container_to_log, primary]
11:47:06,858 INFO  [TableMetadata] table found: armada.preferences
11:47:06,858 INFO  [TableMetadata] columns: [pref_value, id, pref_name]
11:47:06,859 INFO  [TableMetadata] foreign keys: []
11:47:06,859 INFO  [TableMetadata] indexes: [primary]
11:47:06,860 INFO  [SchemaUpdate] schema update complete
11:47:07,101 INFO  [DefaultAnnotationHandlerMapping] Mapped URL path [/containers/] onto handler 'containerRestfulController'
11:47:07,103 INFO  [DefaultAnnotationHandlerMapping] Mapped URL path [/containers/{id}] onto handler 'containerRestfulController'
11:47:07,104 INFO  [DefaultAnnotationHandlerMapping] Mapped URL path [/containers/{id}.*] onto handler 'containerRestfulController'
11:47:07,105 INFO  [DefaultAnnotationHandlerMapping] Mapped URL path [/containers/{id}/] onto handler 'containerRestfulController'
11:47:07,108 INFO  [DefaultAnnotationHandlerMapping] Mapped URL path [/logs/{containerId}] onto handler 'logRestfulController'
11:47:07,114 INFO  [DefaultAnnotationHandlerMapping] Mapped URL path [/logs/{containerId}.*] onto handler 'logRestfulController'
11:47:07,119 INFO  [DefaultAnnotationHandlerMapping] Mapped URL path [/logs/{containerId}/] onto handler 'logRestfulController'
11:47:07,122 INFO  [DefaultAnnotationHandlerMapping] Mapped URL path [/preferences/setAll] onto handler 'preferenceRestfulController'
11:47:07,126 INFO  [DefaultAnnotationHandlerMapping] Mapped URL path [/preferences/setAll.*] onto handler 'preferenceRestfulController'
11:47:07,130 INFO  [DefaultAnnotationHandlerMapping] Mapped URL path [/preferences/setAll/] onto handler 'preferenceRestfulController'
11:47:07,131 INFO  [DefaultAnnotationHandlerMapping] Mapped URL path [/preferences/] onto handler 'preferenceRestfulController'
11:47:07,968 INFO  [HibernateTransactionManager] Using DataSource [com.mchange.v2.c3p0.ComboPooledDataSource [ acquireIncrement -> 3, acquireRetryAttempts -> 30, acquireRetryDelay -> 1000, autoCommitOnClose -> false, automaticTestTable -> null, breakAfterAcquireFailure -> false, checkoutTimeout -> 0, connectionCustomizerClassName -> null, connectionTesterClassName -> com.mchange.v2.c3p0.impl.DefaultConnectionTester, dataSourceName -> 1hge138971m2mk3z155xnvv|24aed80c, debugUnreturnedConnectionStackTraces -> false, description -> null, driverClass -> com.mysql.jdbc.Driver, factoryClassLocation -> null, forceIgnoreUnresolvedTransactions -> false, identityToken -> 1hge138971m2mk3z155xnvv|24aed80c, idleConnectionTestPeriod -> 0, initialPoolSize -> 3, jdbcUrl -> jdbc:mysql://127.0.0.1:3306/armada, lastAcquisitionFailureDefaultUser -> null, maxAdministrativeTaskTime -> 0, maxConnectionAge -> 0, maxIdleTime -> 0, maxIdleTimeExcessConnections -> 0, maxPoolSize -> 6, maxStatements -> 0, maxStatementsPerConnection -> 0, minPoolSize -> 3, numHelperThreads -> 3, numThreadsAwaitingCheckoutDefaultUser -> 0, preferredTestQuery -> null, properties -> {user=******, password=******}, propertyCycle -> 0, testConnectionOnCheckin -> false, testConnectionOnCheckout -> false, unreturnedConnectionTimeout -> 0, usesTraditionalReflectiveProxies -> false ]] of Hibernate SessionFactory for HibernateTransactionManager
11:47:08,046 INFO  [SimpleUrlHandlerMapping] Mapped URL path [/ArmadaService] onto handler 'httpArmadaService'
11:47:08,187 INFO  [DispatcherServlet] FrameworkServlet 'org.springframework.web.servlet.DispatcherServlet-7cf10a6f': initialization completed in 4374 ms
11:47:08,200 INFO  [ContextHandler] Started o.e.j.w.WebAppContext@191ae03f{/,file:/Volumes/Macbook%20Pro%20Secondary/ptrzyna/Development/workspace/armada/target/classes/assets/,AVAILABLE}
11:47:08,259 INFO  [ServerConnector] Started ServerConnector@7664902d{HTTP/1.1}{0.0.0.0:8083}
11:47:08,261 INFO  [Server] Started @5533ms
11:47:17,669 WARN  [PageNotFound] No mapping found for HTTP request with URI [/favicon.ico] in DispatcherServlet with name 'org.springframework.web.servlet.DispatcherServlet-7cf10a6f'
11:48:03,595 WARN  [PageNotFound] No mapping found for HTTP request with URI [/preferences/setAll/preferences/setAll] in DispatcherServlet with name 'org.springframework.web.servlet.DispatcherServlet-7cf10a6f'
